school,conference,song_name,writers,year,student_writer,official_song,contest,bpm,sec_duration,fight,number_fights,victory,win_won,victory_win_won,rah,nonsense,colors,men,opponents,spelling,trope_count,spotify_id,school_id,avg_home_attendance,attendance_sd,home_games,home_wins,home_win_pct
Boston College,ACC,For Boston,T.J. Hurley,,0,1,0,147,84,0,0,0,0,0,0,0,0,0,0,0,0,4E8cLR6NcYCCJWqD2iwz7c,boston_college,28136.25,17051.47,154.0,95.0,0.6169
Clemson,ACC,Tiger Rag,Original Dixieland Jass Band,1917.0,0,1,0,145,78,0,0,0,0,0,0,0,0,0,0,1,1,7hGtgN4N9ebZTlC7xhvKIE,clemson,59325.9,34460.34,162.0,138.0,0.8519
Duke,ACC,Fight Blue Devils,Joe Hewitt and Doug Ballin,1947.0,0,1,0,139,58,1,5,0,1,1,0,0,1,0,1,0,4,0fDiYvMTYWSSrIuHVJGMZj,duke,18429.83,12174.52,151.0,65.0,0.4305
Florida State,ACC,FSU Fight Song,Doug Alley and Tommie Wright,1950.0,1,1,0,135,92,1,6,1,1,1,0,1,0,0,0,1,5,552UZRLtAO5YXvIVRLjphI,florida_state,56907.58,31271.95,159.0,115.0,0.7233
Georgia Tech,ACC,Ramblin' Wreck From Georgia Tech,Unknown,,1,1,0,148,68,0,0,0,0,0,0,0,1,1,1,0,3,0ZOzvjnZDwrtluHrwbtvGR,georgia_tech,35012.53,19670.67,151.0,93.0,0.6159
Louisville,ACC,Fight! U of L,Robert B. Griffith,1962.0,0,1,0,139,80,1,3,1,1,1,1,0,0,0,0,1,5,1sCmJDLWfD4hsCHyc9hqUr,louisville,34787.1,20306.41,150.0,107.0,0.7133
Miami,ACC,Miami U How-Dee-Doo,Henry Fillmore,1950.0,0,1,0,75,73,1,3,1,0,1,0,0,0,0,0,1,3,2TDHghruqAnMmH4L9GFUUr,miami,40307.66,24198.82,151.0,113.0,0.7483
North Carolina,ACC,I'm a Tar Heel Born,Unknown,,0,1,0,158,38,0,0,0,0,0,1,0,0,0,0,0,1,23cCr6w4YgxQaYlr3eNTUr,north_carolina,37769.36,22550.4,154.0,93.0,0.6039
North Carolina State,ACC,The Red & White Song,J. Perry Watson,1961.0,0,0,0,90,82,0,0,0,0,0,0,0,1,0,1,1,3,2Pn76lkyMhOxJj8maIrIRT,north_carolina_state,,,,,
Pitt,ACC,Hail to Pitt,George Kirk and Lester Milton Taylor,1911.0,1,1,0,79,110,0,0,1,1,1,0,1,1,1,0,1,6,55nndPja6lpTsGMinT1SJy,pitt,,,,,
