school_key,avg_home_attendance,attendance_sd,home_games,home_wins,home_win_pct
abilene_christian,8664.67,2388.02,6,5,0.8333
air_force,23922.44,15932.02,145,100,0.6897
akron,9908.96,7497.85,126,56,0.4444
alabama,74266.93,40369.38,167,144,0.8623
alabama_aandm,9803.0,6163.25,5,4,0.8
alabama_state,18476.33,9254.4,6,4,0.6667
alcorn_state,11407.5,9145.38,4,3,0.75
app_state,25232.09,9497.75,68,57,0.8382
arizona,36801.01,20014.91,154,81,0.526
arizona_state,40333.18,23452.94,154,105,0.6818
arkansas,51457.77,27856.15,160,96,0.6
arkansas_pine_bluff,6883.17,3440.53,6,3,0.5
arkansas_state,14393.56,9614.16,133,91,0.6842
army,24057.65,14141.97,139,73,0.5252
auburn,64682.55,36500.45,172,127,0.7384
austin_peay,6019.5,1891.48,6,1,0.1667
ball_state,9238.91,6396.79,130,65,0.5
baylor,31910.19,17749.63,140,79,0.5643
bethune_cookman,7862.8,2148.39,5,1,0.2
boise_state,24605.05,14167.37,148,133,0.8986
boston_college,28136.25,17051.47,154,95,0.6169
bowling_green,12599.51,8047.25,131,71,0.542
brown,5972.4,3141.89,5,2,0.4
bryant,2881.25,1634.95,4,0,0.0
bucknell,1352.17,705.05,6,4,0.6667
buffalo,11491.06,7835.04,135,63,0.4667
butler,3198.86,679.71,7,6,0.8571
byu,44004.6,26843.88,145,108,0.7448
cal_poly,8251.67,1938.09,3,0,0.0
california,35744.39,22234.93,148,88,0.5946
campbell,3732.29,1102.62,7,2,0.2857
central_arkansas,7297.6,2747.69,5,4,0.8
central_connecticut,3600.4,419.51,5,5,1.0
central_michigan,12759.19,8667.11,131,77,0.5878
charleston_southern,3708.4,1411.58,5,0,0.0
charlotte,11932.83,3934.54,54,21,0.3889
chattanooga,7064.0,984.53,6,3,0.5
cincinnati,23894.45,14972.31,150,109,0.7267
clemson,59325.9,34460.34,162,138,0.8519
coastal_carolina,14207.96,4582.34,48,30,0.625
colgate,2268.0,1520.72,4,2,0.5
colorado,36810.62,20731.04,143,74,0.5175
colorado_state,22246.19,14354.35,128,67,0.5234
columbia,5625.8,3933.53,5,4,0.8
cornell,7432.67,4398.45,3,2,0.6667
dartmouth,4274.4,2102.71,5,4,0.8
davidson,2860.6,957.55,5,4,0.8
dayton,2955.17,189.6,6,4,0.6667
delaware,17329.29,1114.93,7,7,1.0
delaware_state,3333.2,1219.57,5,0,0.0
drake,3187.75,937.15,4,3,0.75
duke,18429.83,12174.52,151,65,0.4305
duquesne,2029.0,540.53,5,5,1.0
east_carolina,29310.69,17435.12,140,76,0.5429
east_tennessee_state,9881.17,1602.39,6,3,0.5
east_texas_aandm,4264.67,1308.28,6,2,0.3333
eastern_illinois,5230.6,2418.29,5,3,0.6
eastern_kentucky,7780.14,5069.45,7,6,0.8571
eastern_michigan,9647.4,7349.32,131,55,0.4198
eastern_washington,6061.17,1790.43,6,2,0.3333
elon,6157.83,3510.5,6,2,0.3333
erskine,978.0,,1,0,0.0
florida,65545.55,37599.94,157,122,0.7771
florida_aandm,17228.67,5509.02,3,2,0.6667
florida_atlantic,12934.64,7781.32,108,58,0.537
florida_international,10932.42,6656.57,103,45,0.4369
florida_state,56907.58,31271.95,159,115,0.7233
fordham,3706.0,840.04,2,0,0.0
fresno_state,27471.96,15589.51,138,98,0.7101
furman,8289.0,1071.01,5,1,0.2
gardner_webb,3364.6,870.0,5,2,0.4
georgetown,3289.4,663.82,5,2,0.4
georgia,71204.98,38116.4,153,129,0.8431
georgia_southern,16984.29,6248.66,62,44,0.7097
georgia_state,14059.36,5027.73,66,25,0.3788
georgia_tech,35012.53,19670.67,151,93,0.6159
grambling,11333.6,6551.11,5,4,0.8
hampton,3772.4,2999.62,5,1,0.2
harvard,11079.0,8258.36,6,5,0.8333
hawai_i,20011.32,15793.36,151,93,0.6159
holy_cross,12084.4,1967.46,5,2,0.4
houston,20874.76,12779.25,140,90,0.6429
houston_christian,2000.2,190.06,5,3,0.6
howard,5524.8,2802.6,5,3,0.6
idaho,9070.11,7451.27,95,39,0.4105
idaho_state,6926.5,2087.36,4,2,0.5
illinois,35824.82,20875.3,156,75,0.4808
illinois_state,7788.6,2537.41,5,3,0.6
incarnate_word,2038.5,167.92,6,6,1.0
indiana,32286.35,17738.07,151,76,0.5033
