school,school_id,conference,song_name,bpm,sec_duration,fight,victory,win_won,opponents,rah,nonsense,colors,men,official_song,primary_bucket,secondary_bucket,score_aggression,score_unity,score_tradition,score_pageantry,score_institutional,score_competitive_glory,lex_aggression_freq,lex_unity_freq,lex_tradition_freq,lex_pageantry_freq,lex_institutional_freq,lex_competitive_glory_freq
Boston College,boston_college,ACC,For Boston,147,84,0,0,0,0,0,0,0,0,1,Tradition/Legacy,Institutional Pride,0.13724381847029313,0.5,1.9867271423268031,0.10979505477623451,1.5833333333333333,0.08333333333333333,0.0,0.0625,0.0,0.0,0.13541666666666666,0.010416666666666666
Clemson,clemson,ACC,Tiger Rag,145,78,0,0,0,0,0,0,0,0,1,Tradition/Legacy,,0.20549541351018763,0.0,1.9508998397424897,0.1810629974748168,0.5,-0.041666666666666664,0.010416666666666666,0.0,0.0,0.010416666666666666,0.0,0.0
Duke,duke,ACC,Fight Blue Devils,139,58,1,0,1,1,0,0,1,0,1,Aggression/Conflict,,5.7197740081536805,0.19047619047619047,1.8274537009165277,0.06153349223723031,2.392857142857143,-0.8809523809523809,0.14285714285714285,0.023809523809523808,0.0,0.0,0.14285714285714285,0.023809523809523808
Florida State,florida_state,ACC,FSU Fight Song,135,92,1,1,1,0,0,1,0,0,1,Aggression/Conflict,,5.32675338870966,0.0,2.1229764104273956,1.0374027109677282,0.9266666666666667,0.3933333333333332,0.16,0.0,0.0,0.0,0.05333333333333334,0.06666666666666667
Georgia Tech,georgia_tech,ACC,Ramblin' Wreck From Georgia Tech,148,68,0,0,0,1,0,0,1,1,1,Tradition/Legacy,Aggression/Conflict,1.6447846876170125,1.0,1.8529805984252556,0.2779899122557722,1.6283783783783785,0.0,0.0,0.0,0.0,0.02027027027027027,0.0472972972972973,0.0
Louisville,louisville,ACC,Fight! U of L,139,80,1,1,1,0,1,0,0,0,1,Aggression/Conflict,,4.8638021111981775,0.6557377049180327,2.0030602427197644,2.0861236561716567,0.5,0.3688524590163933,0.09836065573770492,0.08196721311475409,0.0,0.06557377049180328,0.0,0.03278688524590164
Miami,miami,ACC,Miami U How-Dee-Doo,75,73,1,1,0,0,0,0,0,0,1,Aggression/Conflict,,3.1796670935650324,0.0,2.333277934276223,-0.3245590080748034,1.670731707317073,-0.5975609756097562,0.07317073170731707,0.0,0.0,0.0,0.14634146341463414,0.024390243902439025
North Carolina,north_carolina,ACC,I'm a Tar Heel Born,158,38,0,0,0,0,1,0,0,0,1,Pageantry/Spectacle,,0.2201933790842066,0.0,1.5531901791561775,3.676154703267365,0.5,0.0,0.0,0.0,0.0,0.25,0.0,0.0
North Carolina State,north_carolina_state,ACC,The Red & White Song,90,82,0,0,0,1,0,0,1,0,0,Institutional Pride,Aggression/Conflict,1.2074142771072869,0.851063829787234,0.31462654434418685,-0.2340685783141705,1.4308510638297873,0.0,0.0,0.10638297872340426,0.0,0.0,0.0851063829787234,0.0
Pitt,pitt,ACC,Hail to Pitt,79,110,0,1,1,0,0,1,1,1,1,Tradition/Legacy,,1.7220256921031296,1.7926829268292683,2.897168354686887,1.1873766512434791,2.0853658536585367,2.1463414634146343,0.012195121951219513,0.036585365853658534,0.036585365853658534,0.06097560975609756,0.07317073170731707,0.024390243902439025
