school,conference,song_name,writers,year,student_writer,official_song,contest,bpm,sec_duration,fight,number_fights,victory,win_won,victory_win_won,rah,nonsense,colors,men,opponents,spelling,trope_count,spotify_id,school_id,avg_home_attendance,attendance_sd,home_games,home_wins,home_win_pct,lyrics_song_name,lyrics,latitude,longitude
Boston College,ACC,For Boston,T.J. Hurley,,0,1,0,147,84,0,0,0,0,0,0,0,0,0,0,0,0,4E8cLR6NcYCCJWqD2iwz7c,boston_college,28136.25,17051.47,154,95,0.6169,For Boston,"For Boston, for Boston,

We sing our proud refrain!

For Boston, for Boston,

'Tis Wisdom's earthly fane.

For here all are one

And their hearts are true,

And the towers on the Heights

Reach to Heav'ns own blue.

For Boston, for Boston,

Till the echoes ring again!

For Boston, for Boston,

Thy glory is our own!

For Boston, for Boston,

'Tis here that Truth is known.

And ever with the Right

Shall thy heirs be found,

Till time shall be no more

And thy work is crown'd.

For Boston, for Boston,

For Thee and Thine alone.",42.3355,71.1685
Clemson,ACC,Tiger Rag,Original Dixieland Jass Band,1917.0,0,1,0,145,78,0,0,0,0,0,0,0,0,0,0,1,1,7hGtgN4N9ebZTlC7xhvKIE,clemson,59325.9,34460.34,162,138,0.8519,Tiger Rag,"Long ago way down in the jungle

Someone got an inspiration for a tune

And that jingle came from the jungle

Became famous mighty soon

Thrills and chills it sends through you

Hot so hot it burns you too

Though it's just the growl of the Tiger

It was written in a syncopated way

More and more they yell for the Tiger

Everywhere you go today, they're shoutin:

Where's that Tiger?

Where's that Tiger?

Where's that Tiger?

Where's that Tiger?

Hold that Tiger!

Hold that Tiger!

Hold that Tiger!

C-L-E-M-S-O...N!",34.6834,82.8374
Duke,ACC,Fight Blue Devils,Joe Hewitt and Doug Ballin,1947.0,0,1,0,139,58,1,5,0,1,1,0,0,1,0,1,0,4,0fDiYvMTYWSSrIuHVJGMZj,duke,18429.83,12174.52,151,65,0.4305,Fight Blue Devils,"Fight, Fight Blue Devils

Fight for Duke and the Blue and White

March on through

For the touchdown's there for you

Go get 'em

Duke is out to win today

Carolina goodnight

So turn on the steam team

Fight Blue Devils Fight",36.0014,78.9382
Florida State,ACC,FSU Fight Song,Doug Alley and Tommie Wright,1950.0,1,1,0,135,92,1,6,1,1,1,0,1,0,0,0,1,5,552UZRLtAO5YXvIVRLjphI,florida_state,56907.58,31271.95,159,115,0.7233,FSU Fight Song,"You got to fight, fight, fight for FSU,

You got to scalp 'em Seminoles.

You got to win, win, win, win this game,

and roll on down and make those goals.

For FSU is on the warpath now,

and at the battles end she's great.

For it's fight, fight, fight for victory,

the Seminoles of Florida State.

F-L-O-R-I-D-A-S-T-A-T-E

Florida State! Florida State! Florida State!

WHOOOOOOO!",27.6648,81.5158
Georgia Tech,ACC,Ramblin' Wreck From Georgia Tech,Unknown,,1,1,0,148,68,0,0,0,0,0,0,0,1,1,1,0,3,0ZOzvjnZDwrtluHrwbtvGR,georgia_tech,35012.53,19670.67,151,93,0.6159,Ramblin' Wreck From Georgia Tech,"I’m a Ramblin’ Wreck from Georgia Tech and a hell of an engineer

A helluva’, helluva helluva helluva helluva engineer

Like all the jolly good fellows I drink my whiskey clear

I’m a Ramblin’ Wreck from Georgia Tech and a hell of an engineer

Oh, if I had a daughter sir, I’d dress her in white and gold

And put her on the campus, sir, to cheer on the brave and bold

And if I had a son, sir, I’d tell you what he’d do

He would yell “To Hell With Georgia” like his daddy used to do

Oh, I wish I had a barrel of rum and sugar three thousand pounds

A college bell to put it in and a clapper to stir it around

I’d drink to all the good fellows who come from far and near

I’m a ramblin’ gamblin’ hell of an engineer! Hey!",33.778,84.398
Louisville,ACC,Fight! U of L,Robert B. Griffith,1962.0,0,1,0,139,80,1,3,1,1,1,1,0,0,0,0,1,5,1sCmJDLWfD4hsCHyc9hqUr,louisville,34787.1,20306.41,150,107,0.7133,Fight! U of L,"Fight now for victory and show them

How we sure will win this game

Fight on you Card'nals and prove to them

That we deserve our fame.

Rah, Rah, Rah!

Roll up the score now and beat the foe

So we can give a yell

With a FIGHT! give them all you've got

For we are with you U of L.",38.2158,85.7614
Miami,ACC,Miami U How-Dee-Doo,Henry Fillmore,1950.0,0,1,0,75,73,1,3,1,0,1,0,0,0,0,0,1,3,2TDHghruqAnMmH4L9GFUUr,miami,40307.66,24198.82,151,113,0.7483,Miami U How-Dee-Doo,"Miami, Miami, Miami, Hurricanes

Drive, Drive, you Hurricanes

Keep right on goin, up that scorin'

Miami, Miami, Miami, Hurricanes

Drive on over the goal and on to victory.

M-I-A-M-I, M-I-A-M-I, fight,fight,fight.",25.717,80.2798
North Carolina,ACC,I'm a Tar Heel Born,Unknown,,0,1,0,158,38,0,0,0,0,0,1,0,0,0,0,0,1,23cCr6w4YgxQaYlr3eNTUr,north_carolina,37769.36,22550.4,154,93,0.6039,I'm a Tar Heel Born,"I'm a Tar Heel born I'm a Tar Heel bred

And when I die I'm a Tar Heel dead.

So it's RAH, RAH, Car'lina 'lina

RAH, RAH, Car'lina 'lina

RAH, RAH, Car'lina

RAH! RAH! RAH!",35.9049,79.0469
North Carolina State,ACC,The Red & White Song,J. Perry Watson,1961.0,0,0,0,90,82,0,0,0,0,0,0,0,1,0,1,1,3,2Pn76lkyMhOxJj8maIrIRT,north_carolina_state,41758.56,23767.74,163,108,0.6626,The Red & White Song,"We’re the Red and White from State

And we know we are the best.

A hand behind our back,

We can take on all the rest.

Come over the hill, Caroline.

Devils and Deacs stand in line.

The Red and White from N.C. State.

Go State!",35.7851,78.6813
Pitt,ACC,Hail to Pitt,George Kirk and Lester Milton Taylor,1911.0,1,1,0,79,110,0,0,1,1,1,0,1,1,1,0,1,6,55nndPja6lpTsGMinT1SJy,pitt,34821.09,21374.17,158,103,0.6519,Hail to Pitt,"Hail to Pitt, hail to Pitt every loyal son!

Hail to Pitt, hail to Pitt 'til the victory is won!

The gold and blue shall wave forever

On high through fair and stormy weather;

We'll sing her praises far and wide

Until the end of time!

Hooperay, hooperay for dear old U-N-I;

We'll give a grand old alleghenee, genac, genac, genac

We'll wave and cheer for many a year

And sing our songs out loud and clear

For our university.",40.4445,79.9613
